TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598346959.56,-0.1890624,-0.0109611,0.4613761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2538579,-0.1328271,0.0583642,-0.2668392,-0.1127945,0.0442482,-0.2761779,-0.1189162,0.0208146,-0.2785363,-0.1201162,-0.0015559,-0.3654524,0.0012673,0.0960431,0.0,0.0,0.0,-0.2928203,-0.1251846,0.0071398,-0.2877908,-0.1187435,-0.0094813,-0.3924873,0.0118442,0.1034963,-0.384446,-0.0312619,0.0614931,-0.3473148,-0.0762978,0.0219167,-0.3150178,-0.1063782,-0.0073172,-0.3951243,0.002471,0.0985914,-0.3938725,-0.0327419,0.0618015,-0.3696655,-0.0669319,0.0255605,-0.344738,-0.0868796,0.0009882,-0.3952399,-0.0099977,0.0851227,-0.4011336,-0.033104,0.0597737,-0.3833162,-0.0567257,0.0335578,-0.3679943,-0.0691369,0.0202589
1598346959.59,-0.1890624,-0.0109611,0.4613761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2646626,-0.1124528,0.044177,-0.2740233,-0.1185779,0.0207441,-0.2745537,-0.1234622,-0.0025541,0.0,0.0,0.0,-0.3077473,-0.1220669,0.0290209,-0.2945451,-0.1222027,0.0101565,-0.2857357,-0.1231059,-0.0083382,-0.3874007,0.0069523,0.1043604,-0.3887761,-0.0238718,0.0661071,-0.3560439,-0.0647932,0.0251147,-0.3128485,-0.1060376,-0.0073882,-0.3949263,0.0016968,0.1009298,-0.3987876,-0.028595,0.0631796,-0.3743187,-0.054555,0.0310562,-0.342343,-0.0872348,0.0030393,0.0,0.0,0.0,-0.3985559,-0.0376209,0.058481,-0.3835856,-0.051822,0.0347045,-0.3719659,-0.0583796,0.027652
1598346959.63,-0.1890624,-0.0109611,0.4613761,0.0,0.0,0.0,-0.3584263,0.0459531,0.1367343,-0.3459924,0.0322329,0.1291288,0.0,0.0,0.0,-0.2668392,-0.1127945,0.0442482,-0.2740233,-0.1185779,0.0207441,-0.2782392,-0.1160983,-0.0006978,-0.3579177,-0.0089113,0.0978011,-0.3034873,-0.126049,0.0299931,-0.2926466,-0.1258637,0.0091912,-0.2894983,-0.1157395,-0.0065217,-0.3820557,-0.0029428,0.101255,-0.3817427,-0.036531,0.0624439,-0.3585372,-0.0602328,0.0263164,-0.3169664,-0.1027008,-0.0064209,-0.4023179,0.0103007,0.1038181,-0.3962291,-0.0331119,0.0618787,-0.3696655,-0.0669319,0.0255605,-0.342343,-0.0872348,0.0030393,0.0,0.0,0.0,-0.3985559,-0.0376209,0.058481,-0.3761076,-0.0694423,0.0301361,-0.3698498,-0.0662114,0.023384
1598346959.66,-0.1862742,-0.0113747,0.4637639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2664346,-0.1088083,0.0452441,-0.2740233,-0.1185779,0.0207441,-0.2785363,-0.1201162,-0.0015559,-0.3656551,0.0062925,0.0999719,-0.3094318,-0.1144518,0.0309954,-0.2906804,-0.1248486,0.0070698,-0.287617,-0.1194226,-0.0074299,-0.3898491,0.0065679,0.1044405,-0.3887761,-0.0238718,0.0661071,-0.3537736,-0.0644368,0.0250404,-0.3148416,-0.1070667,-0.0052376,0.0,0.0,0.0,-0.4011534,-0.0289664,0.063257,-0.3722139,-0.0623801,0.026764,-0.344738,-0.0868796,0.0009882,-0.3951423,-0.0148798,0.0838405,-0.3985559,-0.0376209,0.058481,-0.3786406,-0.0601825,0.0300687,-0.3677639,-0.0651344,0.0211334
1598346959.69,-0.188853,-0.0117796,0.4638483,0.0,0.0,0.0,-0.3582211,0.0451509,0.1391572,-0.3508999,0.0421433,0.1323752,-0.3379162,0.0352142,0.1083355,-0.2670159,-0.1121037,0.0421616,-0.2740233,-0.1185779,0.0207441,-0.2763964,-0.1197802,-0.0016259,-0.362827,0.0008779,0.0982915,0.0,0.0,0.0,-0.2906804,-0.1248486,0.0070698,-0.287617,-0.1194226,-0.0074299,-0.3898301,0.01145,0.1057719,-0.3795859,-0.0354174,0.0601168,-0.3517863,-0.0680863,0.0240793,-0.308966,-0.1133949,-0.0091803,-0.3975636,0.002088,0.0986712,-0.3962291,-0.0331119,0.0618787,-0.3673952,-0.0665755,0.0254862,-0.3445223,-0.0828648,0.0018207,-0.3926348,-0.0193835,0.0824794,-0.3957883,-0.04288,0.0594297,-0.3764027,-0.0645428,0.0312836,-0.3678105,-0.0698551,0.0224283
1598346959.73,-0.1894813,-0.0093241,0.4564316,0.0,0.0,0.0,-0.3557283,0.0405544,0.1349523,-0.3459924,0.0322329,0.1291288,-0.2758496,-0.0875183,0.0724923,-0.2670159,-0.1121037,0.0421616,-0.2740233,-0.1185779,0.0207441,-0.2782392,-0.1160983,-0.0006978,-0.3725252,0.0190462,0.1065376,-0.3075086,-0.1180896,0.0299728,-0.2928203,-0.1251846,0.0071398,-0.287617,-0.1194226,-0.0074299,-0.3922878,0.0110642,0.1058524,-0.3820894,-0.0308919,0.0614159,-0.3493021,-0.0726482,0.0228778,-0.3109072,-0.1097163,-0.0082843,-0.3975636,0.002088,0.0986712,-0.3987876,-0.028595,0.0631796,-0.3722139,-0.0623801,0.026764,-0.3425229,-0.0865318,0.0009157,-0.3950442,-0.0107626,0.0874329,-0.4055808,-0.0257267,0.0643757,-0.380556,-0.0619931,0.034528,-0.3698498,-0.0662114,0.023384
1598346959.76,-0.1862742,-0.0113747,0.4637639,0.0,0.0,0.0,-0.3606746,0.050452,0.1382193,-0.3486912,0.0326332,0.1268175,0.0,0.0,0.0,-0.2668392,-0.1127945,0.0442482,-0.2740233,-0.1185779,0.0207441,-0.2763964,-0.1197802,-0.0016259,-0.3680119,0.0108047,0.1013722,-0.3053394,-0.117749,0.0299018,-0.2928203,-0.1251846,0.0071398,-0.2879646,-0.1180643,-0.0115327,-0.3898301,0.01145,0.1057719,-0.3844008,-0.0271172,0.0649831,-0.3493021,-0.0726482,0.0228778,-0.3109072,-0.1097163,-0.0082843,-0.4000405,0.0065844,0.1000666,-0.3962291,-0.0331119,0.0618787,-0.3673952,-0.0665755,0.0254862,-0.3465217,-0.0791977,0.0027258,-0.3950442,-0.0107626,0.0874329,-0.3987465,-0.0368758,0.0562306,-0.3764027,-0.0645428,0.0312836,-0.3675796,-0.0658549,0.0233097
1598346959.79,-0.1864836,-0.0105562,0.4612917,0.0,0.0,0.0,-0.3604686,0.0496469,0.1406511,-0.3488728,0.0384342,0.128496,0.0,0.0,0.0,-0.2668392,-0.1127945,0.0442482,-0.2740233,-0.1185779,0.0207441,-0.2745537,-0.1234622,-0.0025541,-0.3678131,0.0100276,0.1037194,-0.3094318,-0.1144518,0.0309954,-0.2928203,-0.1251846,0.0071398,-0.2857357,-0.1231059,-0.0083382,-0.3898491,0.0065679,0.1044405,-0.3864199,-0.0331278,0.0660885,-0.3517863,-0.0680863,0.0240793,-0.3109072,-0.1097163,-0.0082843,-0.3923108,-0.0070363,0.0932823,-0.3985857,-0.0334819,0.0619558,-0.3675796,-0.0658549,0.0233097,-0.3425229,-0.0865318,0.0009157,-0.3952205,-0.0189999,0.080265,-0.3961681,-0.0413958,0.0549466,-0.3765878,-0.0638193,0.0290984,-0.35703,-0.0748568,0.0135967
1598346959.83,-0.1890624,-0.0109611,0.4613761,0.0,0.0,0.0,-0.3607611,0.0397643,0.135117,-0.3486912,0.0326332,0.1268175,-0.3375123,0.0336356,0.1131039,-0.2664346,-0.1088083,0.0452441,-0.2740233,-0.1185779,0.0207441,-0.2785363,-0.1201162,-0.0015559,-0.3655635,0.0111891,0.1012921,0.0,0.0,0.0,-0.2905067,-0.1255277,0.0091212,-0.287617,-0.1194226,-0.0074299,-0.3898491,0.0065679,0.1044405,-0.3887761,-0.0238718,0.0661071,-0.35197,-0.0673681,0.0219099,-0.3150178,-0.1063782,-0.0073172,-0.3951243,0.002471,0.0985914,-0.3985857,-0.0334819,0.0619558,-0.3675796,-0.0658549,0.0233097,-0.3532669,-0.0712996,0.0048356,-0.3974541,-0.0111409,0.0875118,-0.3985559,-0.0376209,0.058481,-0.3764027,-0.0645428,0.0312836,-0.3678105,-0.0698551,0.0224283
1598346959.86,-0.1877676,-0.0135639,0.4508572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2685517,-0.1022226,0.0655722,-0.2668392,-0.1127945,0.0442482,-0.2740233,-0.1185779,0.0207441,-0.2763964,-0.1197802,-0.0016259,-0.3704604,0.0104203,0.1014523,0.0,0.0,0.0,-0.2928203,-0.1251846,0.0071398,-0.287617,-0.1194226,-0.0074299,-0.3898491,0.0065679,0.1044405,-0.3867666,-0.0274887,0.0650605,-0.3537736,-0.0644368,0.0250404,-0.3128485,-0.1060376,-0.0073882,-0.392163,-0.0029264,0.0969172,-0.3987876,-0.028595,0.0631796,-0.3722139,-0.0623801,0.026764,-0.3465217,-0.0791977,0.0027258,-0.3975417,-0.0062603,0.0888025,-0.3959782,-0.0421379,0.0571881,-0.3784549,-0.0609083,0.032261,-0.3698498,-0.0662114,0.023384
