TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598532507.81,-0.3196507,0.2278406,0.6181013,-0.3959395,0.0588686,0.1515779,-0.3807615,0.0464608,0.1413152,-0.3224089,-0.0246337,0.0685246,-0.3203081,-0.0352839,0.0413773,-0.2990347,-0.0697224,0.0108309,-0.3871257,0.0159395,0.1093868,-0.3567012,-0.0440637,0.0514958,-0.3359458,-0.0655993,0.0235609,-0.3175335,-0.0746464,0.0017772,-0.4119942,0.0128494,0.1078293,-0.3917043,-0.0357702,0.0560001,-0.3589116,-0.0766354,0.0179772,-0.3347346,-0.0993442,-0.0113052,-0.4168398,-0.0051975,0.0930562,-0.4040643,-0.0312301,0.0530734,-0.3746423,-0.0743947,0.0172075,0.0,0.0,0.0,-0.408239,-0.0417471,0.0508461,-0.383651,-0.0723422,0.0229467,-0.3705071,-0.0851719,0.0099415
1598532508.3,-0.3139301,0.2696544,0.579578,-0.1650268,-0.119228,-0.0647412,-0.1598323,-0.1254355,-0.0786478,-0.0927194,-0.1430957,-0.1075147,-0.0600691,-0.1662449,-0.1319185,-0.0286822,-0.1770401,-0.1462127,-0.1163126,-0.173802,-0.133786,-0.106715,-0.2028922,-0.1599986,-0.0923376,-0.2290959,-0.1863716,-0.0814895,-0.2419443,-0.203405,-0.1272427,-0.1968214,-0.1490936,-0.1106209,-0.2263152,-0.1835816,-0.0871435,-0.2463304,-0.2085725,-0.0623845,-0.267674,-0.2322597,-0.1336254,-0.2052491,-0.155234,-0.1166189,-0.2348498,-0.1892473,-0.0974159,-0.2577625,-0.2138313,-0.1366368,-0.2069758,-0.1608081,-0.1195652,-0.2368074,-0.1910133,-0.101747,-0.2564385,-0.2102011,-0.0974159,-0.2577625,-0.2138313
1598532508.96,-0.2716047,0.3042748,0.5495667,-0.0020578,-0.1162137,-0.0944756,-0.0227971,-0.1012335,-0.0785247,0.0441633,-0.1986089,-0.1830207,0.0785842,-0.1688345,-0.161872,0.0831977,-0.1480019,-0.1428775,0.089378,-0.1351024,-0.1280888,0.0882443,-0.1270016,-0.1210793,0.0826496,-0.1438373,-0.136589,0.0866635,-0.1438438,-0.1348664,0.0597675,-0.1492351,-0.1399078,0.0808984,-0.1834094,-0.1743922,0.0610268,-0.1563845,-0.1465261,0.0868473,-0.1456183,-0.1389453,0.0501519,-0.1507448,-0.1395931,0.0827371,-0.1831207,-0.1744523,0.091589,-0.1926421,-0.186481,0.045838,-0.2068087,-0.1926203,0.091589,-0.1926421,-0.186481,0.0950676,-0.1914975,-0.1883376,0.0914418,-0.1920667,-0.1882189
1598532510.42,-0.1997346,-0.0244288,0.4432278,-0.4062686,0.0474337,0.1463033,-0.4041252,0.0396125,0.1358002,-0.2964278,-0.1210328,0.0556785,-0.2993531,-0.1246886,0.0277866,-0.29379,-0.1311552,-0.0007495,-0.4197522,0.0166684,0.1120635,-0.3891592,-0.0320019,0.0616473,-0.3197939,-0.1236302,0.0160283,-0.2982129,-0.1311481,-0.0026477,-0.4283894,-0.0094158,0.100437,-0.4083268,-0.037605,0.0542875,-0.3657313,-0.0687816,0.0201849,-0.3136316,-0.1267816,-0.0094753,-0.436443,-0.0115694,0.0877501,-0.4131763,-0.0498647,0.0444164,-0.3750012,-0.0776783,0.0141848,-0.4315941,-0.0264653,0.0710245,-0.4130125,-0.0540123,0.0410238,-0.385911,-0.0761639,0.0175762,-0.3641796,-0.0827062,0.0054472
1598532510.91,0.0,0.0,0.0,-0.3882251,0.0247781,0.1329105,-0.3864448,0.0226688,0.1242684,-0.2844069,-0.1201916,0.0458994,-0.2829373,-0.1239245,0.0200973,-0.2812116,-0.1284788,-0.003204,-0.3723249,0.0182633,0.1089025,-0.2910908,-0.1205248,0.0440328,-0.2928805,-0.1298596,0.0082957,-0.2836819,-0.1274635,-0.0072091,-0.4019266,0.0136157,0.1098712,0.0,0.0,0.0,-0.2975227,-0.133846,0.0055015,-0.28845,-0.1261073,-0.0131819,-0.4140822,-0.0104545,0.0939947,-0.3940197,-0.0402866,0.0526285,-0.3272763,-0.1252151,0.0050352,-0.4171067,-0.0249772,0.0728406,-0.4035746,-0.053294,0.042938,-0.3791498,-0.0751024,0.017355,0.0,0.0,0.0
1598532511.39,-0.2041575,-0.0198093,0.4434385,-0.3934744,0.0346281,0.1361875,-0.3912828,0.0407944,0.1378095,-0.2862518,-0.1165609,0.0469759,-0.2829373,-0.1239245,0.0200973,-0.2830837,-0.1248015,-0.0022749,-0.3920882,0.0102842,0.1082084,-0.3161856,-0.1194519,0.0302568,-0.2930998,-0.1338532,0.0073997,-0.2859797,-0.1271227,-0.0091768,-0.414606,0.0083714,0.1042202,-0.3940517,-0.0361387,0.056077,0.0,0.0,0.0,-0.3075804,-0.1244236,-0.0137733,-0.419268,-0.0055788,0.0931357,-0.4032841,-0.0458999,0.049502,-0.3748253,-0.0736794,0.0150469,-0.4193441,-0.017887,0.0823247,-0.4079422,-0.0466313,0.0496544,-0.3883552,-0.0641618,0.0251009,-0.3796764,-0.069477,0.0162905
1598532511.88,-0.2024891,-0.0240203,0.4408689,-0.3965429,0.0408029,0.135552,-0.3888331,0.0271548,0.1257315,-0.2866053,-0.1151793,0.0428027,-0.2831116,-0.123243,0.0180389,-0.2832569,-0.1241247,-0.0043193,-0.3900479,0.007345,0.1020933,-0.3144086,-0.122399,0.0271607,-0.2973187,-0.1298525,0.0063909,-0.2859797,-0.1271227,-0.0091768,-0.4147311,0.0042779,0.1005474,-0.3942423,-0.0353937,0.0538266,-0.3272763,-0.1252151,0.0050352,-0.3074072,-0.1251004,-0.011729,-0.4191429,-0.0145462,0.0882215,-0.3987618,-0.0533017,0.0450035,-0.3772297,-0.0698399,0.0183858,-0.4169132,-0.0257333,0.0751244,-0.4035746,-0.053294,0.042938,-0.3859261,-0.0679859,0.0217277,-0.3729372,-0.0766127,0.0119578
1598532512.35,-0.2024891,-0.0240203,0.4408689,-0.3987238,0.0444781,0.1394645,-0.3938831,0.0362254,0.1313628,-0.2845831,-0.1195031,0.0438198,-0.2829373,-0.1239245,0.0200973,-0.2830837,-0.1248015,-0.0022749,-0.3900479,0.007345,0.1020933,-0.3120711,-0.1227457,0.0291624,-0.2932723,-0.1331787,0.0053624,-0.2838545,-0.126789,-0.0092464,-0.4147311,0.0042779,0.1005474,-0.3868834,-0.0488024,0.0524835,-0.327102,-0.1258966,0.0070937,-0.3075804,-0.1244236,-0.0137733,-0.4165536,-0.019034,0.0868489,-0.4035625,-0.0410129,0.050693,-0.3725716,-0.0733255,0.0149732,-0.4125339,-0.0364498,0.0646777,-0.4062111,-0.0487711,0.0441885,-0.3772476,-0.078031,0.0142583,-0.349534,-0.0908847,-0.0018169
1598532512.84,-0.202696,-0.0232117,0.4384266,-0.3884278,0.0255703,0.1305175,-0.3813909,0.0135824,0.1186846,-0.2844069,-0.1201916,0.0458994,-0.2829373,-0.1239245,0.0200973,-0.2829106,-0.1254783,-0.0002306,-0.3922878,0.0110642,0.1058524,-0.314233,-0.1230852,0.0292332,-0.2932723,-0.1331787,0.0053624,-0.2858071,-0.1277971,-0.0071395,-0.4121991,-0.0002098,0.0991502,-0.3942423,-0.0353937,0.0538266,-0.3252658,-0.1288658,0.0040875,-0.3093632,-0.121424,-0.0108324,-0.4191429,-0.0145462,0.0882215,-0.3990575,-0.0484144,0.0461863,-0.3723886,-0.0740408,0.0171337,-0.4170611,-0.0290961,0.069314,-0.4062111,-0.0487711,0.0441885,-0.3838402,-0.066909,0.019477,0.0,0.0,0.0
