TimeStamps,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RIndex3DIP_x,RIndex3DIP_y,RIndex3DIP_z,RIndex4FingerTip_x,RIndex4FingerTip_y,RIndex4FingerTip_z,RMiddle1Knuckles_x,RMiddle1Knuckles_y,RMiddle1Knuckles_z,RMiddle2PIP_x,RMiddle2PIP_y,RMiddle2PIP_z,RMiddle3DIP_x,RMiddle3DIP_y,RMiddle3DIP_z,RMiddle4FingerTip_x,RMiddle4FingerTip_y,RMiddle4FingerTip_z,RRing1Knuckles_x,RRing1Knuckles_y,RRing1Knuckles_z,RRing2PIP_x,RRing2PIP_y,RRing2PIP_z,RRing3DIP_x,RRing3DIP_y,RRing3DIP_z,RRing4FingerTip_x,RRing4FingerTip_y,RRing4FingerTip_z,RWrist_x,RWrist_y,RWrist_z,RPinky1Knuckles_x,RPinky1Knuckles_y,RPinky1Knuckles_z,RPinky2PIP_x,RPinky2PIP_y,RPinky2PIP_z,RPinky3DIP_x,RPinky3DIP_y,RPinky3DIP_z,RPinky4FingerTip_x,RPinky4FingerTip_y,RPinky4FingerTip_z,RPalmBase_x,RPalmBase_y,RPalmBase_z,RThumb1CMC_x,RThumb1CMC_y,RThumb1CMC_z,RThumb2Knuckles_x,RThumb2Knuckles_y,RThumb2Knuckles_z,RThumb3IP_x,RThumb3IP_y,RThumb3IP_z,RThumb4FingerTip_x,RThumb4FingerTip_y,RThumb4FingerTip_z,RIndex1Knuckles_x,RIndex1Knuckles_y,RIndex1Knuckles_z,RIndex2PIP_x,RIndex2PIP_y,RIndex2PIP_z
1598532453.6,-0.188853,-0.0117796,0.4638483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2664346,-0.1088083,0.0452441,-0.2740233,-0.1185779,0.0207441,-0.2785363,-0.1201162,-0.0015559,-0.3725252,0.0190462,0.1065376,0.0,0.0,0.0,-0.2905067,-0.1255277,0.0091212,-0.287617,-0.1194226,-0.0074299,-0.3874007,0.0069523,0.1043604,0.0,0.0,0.0,-0.3537736,-0.0644368,0.0250404,-0.3169664,-0.1027008,-0.0064209,-0.392163,-0.0029264,0.0969172,-0.3987876,-0.028595,0.0631796,-0.3722139,-0.0623801,0.026764,-0.3510783,-0.075676,0.0060768,-0.3951227,-0.0058805,0.0887234,-0.3935896,-0.0459156,0.0536626,-0.3807417,-0.0612673,0.0323358,-0.3698498,-0.0662114,0.023384
1598532454.1,-0.1875591,-0.0143789,0.4533189,0.0,0.0,0.0,-0.3634811,0.0451594,0.1368997,-0.3486912,0.0326332,0.1268175,-0.2645919,-0.1103834,0.063045,-0.2670159,-0.1121037,0.0421616,-0.2740233,-0.1185779,0.0207441,-0.2762227,-0.1204594,0.0004255,-0.3655635,0.0111891,0.1012921,0.0,0.0,0.0,-0.2923979,-0.1218656,0.0100862,-0.287617,-0.1194226,-0.0074299,-0.3976529,0.0209561,0.1089584,-0.384446,-0.0312619,0.0614931,0.0,0.0,0.0,-0.3169664,-0.1027008,-0.0064209,-0.3975921,0.0069688,0.0999865,-0.3987876,-0.028595,0.0631796,-0.3675796,-0.0658549,0.0233097,-0.344738,-0.0868796,0.0009882,-0.392829,-0.0186244,0.0801867,-0.3985559,-0.0376209,0.058481,-0.3765878,-0.0638193,0.0290984,-0.3675796,-0.0658549,0.0233097
1598532454.59,-0.1864836,-0.0105562,0.4612917,0.0,0.0,0.0,0.0,0.0,0.0,-0.3439636,0.0285175,0.1252689,0.0,0.0,0.0,-0.2668392,-0.1127945,0.0442482,-0.2740233,-0.1185779,0.0207441,-0.2782392,-0.1160983,-0.0006978,-0.3680944,0.0059096,0.1000517,0.0,0.0,0.0,-0.2905067,-0.1255277,0.0091212,-0.287617,-0.1194226,-0.0074299,-0.3947454,0.0106783,0.1059328,-0.3845929,-0.0263664,0.0627151,-0.3539579,-0.0637163,0.022864,-0.308966,-0.1133949,-0.0091803,-0.3972167,-0.0029182,0.0947483,-0.3940517,-0.0361387,0.056077,-0.3675796,-0.0658549,0.0233097,-0.3425229,-0.0865318,0.0009157,-0.3950855,-0.0238791,0.0789904,-0.3961681,-0.0413958,0.0549466,-0.3740217,-0.0683653,0.0278854,-0.3657313,-0.0687816,0.0201849
1598532455.07,-0.1871421,-0.0160088,0.4582422,0.0,0.0,0.0,0.0,0.0,0.0,-0.3444112,0.0244073,0.1215078,-0.2707596,-0.1025693,0.0656445,-0.2668392,-0.1127945,0.0442482,-0.2740233,-0.1185779,0.0207441,-0.2782392,-0.1160983,-0.0006978,-0.3753525,0.0244574,0.1082286,0.0,0.0,0.0,-0.2926466,-0.1258637,0.0091912,-0.287617,-0.1194226,-0.0074299,-0.3874007,0.0069523,0.1043604,-0.3770824,-0.0399431,0.0588175,-0.3539579,-0.0637163,0.022864,-0.3128485,-0.1060376,-0.0073882,-0.3923108,-0.0070363,0.0932823,-0.3987876,-0.028595,0.0631796,-0.3675796,-0.0658549,0.0233097,-0.3427312,-0.0905455,8.29e-05,-0.3927032,-0.0235051,0.0789124,0.0,0.0,0.0,-0.3740217,-0.0683653,0.0278854,-0.3675796,-0.0658549,0.0233097
1598532455.56,-0.1841572,-0.0172356,0.4630815,0.0,0.0,0.0,0.0,0.0,0.0,-0.3486912,0.0326332,0.1268175,0.0,0.0,0.0,-0.2646626,-0.1124528,0.044177,-0.2740233,-0.1185779,0.0207441,-0.2787101,-0.1194371,-0.0036073,-0.3680119,0.0108047,0.1013722,0.0,0.0,0.0,-0.2906804,-0.1248486,0.0070698,-0.289847,-0.1143766,-0.0106386,-0.3976529,0.0209561,0.1089584,-0.384446,-0.0312619,0.0614931,0.0,0.0,0.0,-0.3169664,-0.1027008,-0.0064209,-0.4025174,0.0110807,0.101462,-0.3989797,-0.0278441,0.0609117,-0.3630076,-0.074056,0.0211598,-0.3512601,-0.0749654,0.0039304,-0.3977379,-0.0144948,0.0816176,-0.4057735,-0.0249735,0.0621007,-0.3833984,-0.0525536,0.0369143,-0.3630076,-0.074056,0.0211598
1598532456.04,-0.188853,-0.0117796,0.4638483,0.0,0.0,0.0,-0.3557745,0.029873,0.1318485,-0.3534163,0.0417482,0.1324575,-0.2661733,-0.1074542,0.0662759,-0.2648393,-0.111762,0.0420904,-0.2745228,-0.1218945,0.0177578,-0.276513,-0.1244739,-0.00044,-0.3725252,0.0190462,0.1065376,0.0,0.0,0.0,-0.2906804,-0.1248486,0.0070698,-0.2836032,-0.122771,-0.008408,-0.3898491,0.0065679,0.1044405,-0.3887761,-0.0238718,0.0661071,0.0,0.0,0.0,-0.3109456,-0.1144169,-0.0070443,-0.3947884,-0.002537,0.0946689,-0.3987876,-0.028595,0.0631796,-0.3609756,-0.077701,0.0202042,-0.342343,-0.0872348,0.0030393,-0.3927032,-0.0235051,0.0789124,-0.3987465,-0.0368758,0.0562306,-0.3717514,-0.0680089,0.0278111,-0.3527719,-0.0781594,0.0125895
1598532456.53,-0.1890624,-0.0109611,0.4613761,-0.3029443,0.0691357,0.2699327,-0.3532765,0.0352597,0.1358707,0.0,0.0,0.0,0.0,0.0,0.0,-0.2648393,-0.111762,0.0420904,-0.2740233,-0.1185779,0.0207441,-0.2763964,-0.1197802,-0.0016259,-0.3727255,0.0198291,0.1041728,0.0,0.0,0.0,-0.2928203,-0.1251846,0.0071398,-0.287617,-0.1194226,-0.0074299,-0.3898301,0.01145,0.1057719,-0.3842547,-0.0320098,0.0637522,-0.3474972,-0.0755849,0.0197632,-0.3109072,-0.1097163,-0.0082843,-0.3974026,0.0110725,0.1036572,-0.3985955,-0.0293458,0.0654476,-0.3699345,-0.0620222,0.0266894,-0.3488392,-0.0753245,0.0060036,-0.3900288,-0.0107707,0.0895854,-0.3985559,-0.0376209,0.058481,-0.3784549,-0.0609083,0.032261,-0.372399,-0.0616566,0.0245788
1598532457.01,-0.1871421,-0.0160088,0.4582422,0.0,0.0,0.0,-0.3634811,0.0451594,0.1368997,-0.3488728,0.0384342,0.128496,0.0,0.0,0.0,-0.262486,-0.112111,0.0441058,-0.2740233,-0.1185779,0.0207441,-0.2785363,-0.1201162,-0.0015559,-0.3678131,0.0100276,0.1037194,0.0,0.0,0.0,-0.2923979,-0.1218656,0.0100862,-0.2854772,-0.1190867,-0.0074999,-0.3947265,0.0155605,0.1072642,-0.3794207,-0.0403102,0.0588941,-0.3517863,-0.0680863,0.0240793,-0.3169664,-0.1027008,-0.0064209,-0.4002009,0.0024792,0.0964126,-0.393861,-0.0368837,0.0583273,-0.3722139,-0.0623801,0.026764,-0.3487516,-0.0795478,0.0027988,-0.3927032,-0.0235051,0.0789124,-0.3985559,-0.0376209,0.058481,-0.3788672,-0.0641772,0.029173,-0.3675796,-0.0658549,0.0233097
1598532457.5,-0.1843657,-0.0164206,0.4606198,-0.3076609,0.0796977,0.2744705,-0.3707345,0.0595467,0.1416538,-0.3536206,0.0425468,0.1300452,-0.2626546,-0.1147036,0.0640154,-0.2668392,-0.1127945,0.0442482,-0.2761779,-0.1189162,0.0208146,-0.276513,-0.1244739,-0.00044,-0.3603988,0.0012591,0.098212,0.0,0.0,0.0,-0.2906804,-0.1248486,0.0070698,-0.2857357,-0.1231059,-0.0083382,-0.3953763,0.0221315,0.1065019,-0.3845929,-0.0263664,0.0627151,0.0,0.0,0.0,-0.3128485,-0.1060376,-0.0073882,-0.3947884,-0.002537,0.0946689,-0.3966139,-0.0274727,0.0608342,-0.3655476,-0.0694998,0.0223542,-0.344738,-0.0868796,0.0009882,-0.3977379,-0.0144948,0.0816176,-0.3987465,-0.0368758,0.0562306,-0.3717514,-0.0680089,0.0278111,-0.3634684,-0.0684263,0.0201108
1598532457.98,-0.1890624,-0.0109611,0.4613761,0.0,0.0,0.0,0.0,0.0,0.0,-0.341321,0.0174305,0.1244874,0.0,0.0,0.0,-0.2646626,-0.1124528,0.044177,-0.2740233,-0.1185779,0.0207441,-0.2763964,-0.1197802,-0.0016259,-0.362827,0.0008779,0.0982915,-0.3094318,-0.1144518,0.0309954,-0.2906804,-0.1248486,0.0070698,-0.287617,-0.1194226,-0.0074299,-0.3851692,0.0032287,0.1006105,0.0,0.0,0.0,-0.3494851,-0.0719329,0.0207173,-0.3169664,-0.1027008,-0.0064209,-0.392163,-0.0029264,0.0969172,-0.3987876,-0.028595,0.0631796,-0.3696655,-0.0669319,0.0255605,-0.3487516,-0.0795478,0.0027988,-0.3978454,-0.0096112,0.0828913,-0.4011336,-0.033104,0.0597737,-0.3807417,-0.0612673,0.0323358,-0.3655476,-0.0694998,0.0223542
